generated_at,day,city,var,forecast_value,observed_value
2025-08-18T18:56:18Z,2025-07-20,Cape Town,temperature_2m,15.083333333333336,11.0625
2025-08-18T18:56:18Z,2025-07-20,Cape Town,precipitation,0.0,0.0
2025-08-18T18:56:18Z,2025-07-20,Cape Town,wind_speed_10m,8.258333333333335,2.933333333333333
2025-08-18T18:56:18Z,2025-07-21,Cape Town,temperature_2m,14.779166666666667,11.375
2025-08-18T18:56:18Z,2025-07-21,Cape Town,precipitation,3.1999999999999997,1.6
2025-08-18T18:56:18Z,2025-07-21,Cape Town,wind_speed_10m,18.583333333333332,9.25
2025-08-18T18:56:18Z,2025-07-22,Cape Town,temperature_2m,15.354166666666664,12.245833333333332
2025-08-18T18:56:18Z,2025-07-22,Cape Town,precipitation,0.0,0.0
2025-08-18T18:56:18Z,2025-07-22,Cape Town,wind_speed_10m,17.229166666666668,7.204166666666667
2025-08-18T18:56:18Z,2025-07-23,Cape Town,temperature_2m,16.479166666666668,13.191666666666665
2025-08-18T18:56:18Z,2025-07-23,Cape Town,precipitation,0.0,0.0
2025-08-18T18:56:18Z,2025-07-23,Cape Town,wind_speed_10m,12.929166666666669,6.933333333333333
2025-08-18T18:56:18Z,2025-07-24,Cape Town,temperature_2m,15.66666666666667,14.404166666666667
2025-08-18T18:56:18Z,2025-07-24,Cape Town,precipitation,0.8999999999999999,1.5000000000000002
2025-08-18T18:56:18Z,2025-07-24,Cape Town,wind_speed_10m,15.233333333333329,8.029166666666665
2025-08-18T18:56:18Z,2025-07-25,Cape Town,temperature_2m,13.991666666666667,11.612499999999997
2025-08-18T18:56:18Z,2025-07-25,Cape Town,precipitation,0.0,0.2
2025-08-18T18:56:18Z,2025-07-25,Cape Town,wind_speed_10m,21.483333333333334,6.383333333333333
2025-08-18T18:56:18Z,2025-07-26,Cape Town,temperature_2m,13.891666666666667,11.624999999999998
2025-08-18T18:56:18Z,2025-07-26,Cape Town,precipitation,0.0,0.0
2025-08-18T18:56:18Z,2025-07-26,Cape Town,wind_speed_10m,24.774999999999995,12.324999999999998
2025-08-18T18:56:18Z,2025-07-27,Cape Town,temperature_2m,15.612500000000002,12.962499999999999
2025-08-18T18:56:18Z,2025-07-27,Cape Town,precipitation,0.0,0.0
2025-08-18T18:56:18Z,2025-07-27,Cape Town,wind_speed_10m,12.9,5.729166666666664
