generated_at,day,city,var,horizon_hours,mae,rmse,bias
2025-08-18T09:46:45Z,2025-08-18,Cape Town,precipitation,22,0.0,0.0,0.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,precipitation,23,0.0,0.0,0.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,precipitation,24,0.0,0.0,0.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,precipitation,25,0.0,0.0,0.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,precipitation,26,0.0,0.0,0.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,precipitation,27,0.0,0.0,0.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,precipitation,28,0.0,0.0,0.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,precipitation,29,0.0,0.0,0.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,precipitation,30,0.0,0.0,0.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,precipitation,31,0.0,0.0,0.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,precipitation,32,0.0,0.0,0.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,temperature_2m,22,6.300000000000001,6.300000000000001,6.300000000000001
2025-08-18T09:46:45Z,2025-08-18,Cape Town,temperature_2m,23,6.300000000000001,6.300000000000001,6.300000000000001
2025-08-18T09:46:45Z,2025-08-18,Cape Town,temperature_2m,24,6.300000000000001,6.300000000000001,6.300000000000001
2025-08-18T09:46:45Z,2025-08-18,Cape Town,temperature_2m,25,6.300000000000001,6.300000000000001,6.300000000000001
2025-08-18T09:46:45Z,2025-08-18,Cape Town,temperature_2m,26,6.0,6.0,6.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,temperature_2m,27,6.0,6.0,6.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,temperature_2m,28,6.0,6.0,6.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,temperature_2m,29,6.0,6.0,6.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,temperature_2m,30,6.0,6.0,6.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,temperature_2m,31,6.0,6.0,6.0
2025-08-18T09:46:45Z,2025-08-18,Cape Town,temperature_2m,32,6.300000000000001,6.300000000000001,6.300000000000001
2025-08-18T09:46:45Z,2025-08-18,Cape Town,wind_speed_10m,22,1.2,1.2,-1.2
2025-08-18T09:46:45Z,2025-08-18,Cape Town,wind_speed_10m,23,1.2,1.2,-1.2
2025-08-18T09:46:45Z,2025-08-18,Cape Town,wind_speed_10m,24,1.2,1.2,-1.2
2025-08-18T09:46:45Z,2025-08-18,Cape Town,wind_speed_10m,25,1.2,1.2,-1.2
2025-08-18T09:46:45Z,2025-08-18,Cape Town,wind_speed_10m,26,0.7999999999999998,0.7999999999999998,-0.7999999999999998
2025-08-18T09:46:45Z,2025-08-18,Cape Town,wind_speed_10m,27,0.7999999999999998,0.7999999999999998,-0.7999999999999998
2025-08-18T09:46:45Z,2025-08-18,Cape Town,wind_speed_10m,28,0.7999999999999998,0.7999999999999998,-0.7999999999999998
2025-08-18T09:46:45Z,2025-08-18,Cape Town,wind_speed_10m,29,0.7999999999999998,0.7999999999999998,-0.7999999999999998
2025-08-18T09:46:45Z,2025-08-18,Cape Town,wind_speed_10m,30,0.7999999999999998,0.7999999999999998,-0.7999999999999998
2025-08-18T09:46:45Z,2025-08-18,Cape Town,wind_speed_10m,31,0.7999999999999998,0.7999999999999998,-0.7999999999999998
2025-08-18T09:46:45Z,2025-08-18,Cape Town,wind_speed_10m,32,2.6,2.6,-2.6
